distance_km,athlete_gender,athlete_tier,avg_speed,total_athletes
46.9,M,Elite,10.485666666666667,15
47.0,F,Average,6.007023953261927,5135
47.0,F,Elite,9.233574430823117,571
47.0,M,Average,6.632525171102662,26300
47.0,M,Elite,10.41869264957265,2925
47.1,F,Average,5.989111111111111,18
47.1,F,Elite,8.103,2
47.1,M,Average,7.063161616161617,99
47.1,M,Elite,13.83675,12
47.153662000000004,F,Average,8.415,1
47.153662000000004,F,Elite,10.243,1
47.153662000000004,M,Average,8.130363636363636,11
47.153662000000004,M,Elite,10.8165,2
47.2,F,Average,6.400121621621621,74
47.2,F,Elite,9.361777777777778,9
47.2,M,Average,7.333871559633028,218
47.2,M,Elite,10.863040000000002,25
47.3,F,Average,3.7009183006535946,306
47.3,F,Elite,7.1644736842105265,38
47.3,M,Average,4.620741633199464,747
47.3,M,Elite,9.36987951807229,83
47.4,F,Average,3.501522792022792,702
47.4,F,Elite,5.921898734177215,79
47.4,M,Average,3.7593829953198123,1282
47.4,M,Elite,8.273097902097902,143
47.47553,F,Average,7.106999999999999,20
47.47553,F,Elite,9.619333333333334,3
47.47553,M,Average,8.124716666666666,60
47.47553,M,Elite,11.529714285714286,7
47.5,F,Average,7.065776515151515,264
47.5,F,Elite,9.682966666666665,30
47.5,M,Average,7.447375,1080
47.5,M,Elite,10.922603305785124,121
47.6,F,Average,7.617263888888889,72
47.6,F,Elite,11.123777777777779,9
47.6,M,Average,8.065624595469256,309
47.6,M,Elite,12.16802857142857,35
47.636464000000004,F,Average,4.72428,25
47.636464000000004,F,Elite,6.178666666666667,3
47.636464000000004,M,Average,5.492242424242424,66
47.636464000000004,M,Elite,7.9285000000000005,8
47.7,F,Average,4.798270270270271,148
47.7,F,Elite,7.959764705882353,17
47.7,M,Average,5.502776315789474,304
47.7,M,Elite,10.563529411764707,34
47.797398,F,Average,6.6871151079136695,139
47.797398,F,Elite,8.8044375,16
47.797398,M,Average,7.2853607594936705,474
47.797398,M,Elite,9.926943396226417,53
47.8,F,Average,6.437530973451327,113
47.8,F,Elite,9.695230769230768,13
47.8,M,Average,6.929113138686131,548
47.8,M,Elite,11.098934426229508,61
47.9,F,Average,4.670135338345865,133
47.9,F,Elite,6.803933333333333,15
47.9,M,Average,5.088946391752578,485
47.9,M,Elite,7.917296296296296,54
48.0,F,Average,6.279911997249914,8727
48.0,F,Elite,9.894241237113402,970
48.0,M,Average,6.794694759075908,37875
48.0,M,Elite,10.936893899833848,4213
48.1,F,Average,5.0199860139860135,143
48.1,F,Elite,6.9199375,16
48.1,M,Average,5.487481566820277,434
48.1,M,Elite,8.303163265306123,49
48.119265999999996,F,Elite,7.604,1
48.119265999999996,M,Average,7.435599999999999,10
48.119265999999996,M,Elite,10.391,2
48.2,F,Average,7.571909448818898,254
